tag,pair,agreement,shared_fp_rate,shared_fn_rate,phi_corr
structured_unsafe_eta0,factuality|helpfulness,0.8478,0.0000,0.5158,0.7113
structured_unsafe_eta0,factuality|policy,0.8753,0.0000,0.4864,0.7503
structured_unsafe_eta0,factuality|safety,0.8428,0.0000,0.3878,0.7137
structured_unsafe_eta0,helpfulness|policy,0.8639,0.0000,0.5408,0.7283
structured_unsafe_eta0,helpfulness|safety,0.7426,0.0000,0.3978,0.5840
structured_unsafe_eta0,policy|safety,0.8193,0.0000,0.3930,0.6840
structured_unsafe_eta10,factuality|helpfulness,0.8458,0.2748,0.5145,0.7071
structured_unsafe_eta10,factuality|policy,0.8744,0.3225,0.4859,0.7482
structured_unsafe_eta10,factuality|safety,0.8439,0.3986,0.3880,0.7159
structured_unsafe_eta10,helpfulness|policy,0.8634,0.2657,0.5403,0.7258
structured_unsafe_eta10,helpfulness|safety,0.7419,0.2901,0.3975,0.5834
structured_unsafe_eta10,policy|safety,0.8171,0.3580,0.3925,0.6804
structured_unsafe_eta20,factuality|helpfulness,0.8437,0.2811,0.5161,0.7023
structured_unsafe_eta20,factuality|policy,0.8730,0.3363,0.4878,0.7447
structured_unsafe_eta20,factuality|safety,0.8420,0.4057,0.3889,0.7127
structured_unsafe_eta20,helpfulness|policy,0.8605,0.2718,0.5420,0.7194
structured_unsafe_eta20,helpfulness|safety,0.7373,0.2920,0.3978,0.5759
structured_unsafe_eta20,policy|safety,0.8152,0.3742,0.3930,0.6764
